"FriendlyName","InstanceId"
"Smartcard-Filtertreiber","{892EDE5E-BE49-443C-A0B3-005D74F2D69C}\SCFILTER\6&34AB60E7&0&01"
"Microsoft VHD-Loopbackcontroller","{8E7BD593-6E6C-4C52-86A6-77175494DD8E}\MSVHDHBA\1&3030E83&0&01"
"Detection Verification","{DD8E82AE-334B-49A2-AEAE-AEB0FD5C40DD}\DETECTIONVERIFICATION\5&2AD50D9E&0&0"
"Microsoft-Netzteil","ACPI\ACPI0003\0"
"ACPI-Prozessoraggregator","ACPI\ACPI000C\2&DABA3FF&0"
"ACPI-Schalter","ACPI\FIXEDBUTTON\2&DABA3FF&0"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_1"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_2"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_3"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_4"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_5"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_6"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_7"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_8"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_9"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_A"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_B"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_C"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_D"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_E"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\_F"
"Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I9-9880H_CPU_@_2.30GHZ\10"
"Intel(R) Software Guard Extensions Device","ACPI\INT0E0C\2&DABA3FF&0"
"Hauptplatinenressourcen","ACPI\INT3394\2&DABA3FF&0"
"Intel(R) Dynamic Tuning Manager","ACPI\INT3400\2&DABA3FF&0"
"Intel(R) Dynamic Tuning Generic Participant","ACPI\INT3403\SEN1"
"Intel(R) Dynamic Tuning Generic Participant","ACPI\INT3403\SEN2"
"Intel(R) Dynamic Tuning Generic Participant","ACPI\INT3403\SEN3"
"Intel(R) Dynamic Tuning Generic Participant","ACPI\INT3403\SEN4"
"Intel(R)-GPIO-Hostcontroller f?r serielle E/A ? INT3450","ACPI\INT3450\3&11583659&0"
"Hauptplatinenressourcen","ACPI\INT3F0D\4&1E8A3547&0"
"PS/2-Standardtastatur","ACPI\LEN0071\4&1E8A3547&0"
"Lenovo Intelligent Thermal Solution","ACPI\LEN0100\5&2890D699&0"
"Lenovo PM Device","ACPI\LEN0268\5&2890D699&0"
"ELAN Input Device For WDF","ACPI\LEN040A\4&1E8A3547&0"
"Programmierbarer Interruptcontroller","ACPI\PNP0000\4&1E8A3547&0"
"Systemzeitgeber","ACPI\PNP0100\4&1E8A3547&0"
"Hochpr?zisionsereigniszeitgeber","ACPI\PNP0103\0"
"Systemlautsprecher","ACPI\PNP0800\4&1E8A3547&0"
"Stammkomplex f?r PCI-Express","ACPI\PNP0A08\0"
"System CMOS/Echtzeituhr","ACPI\PNP0B00\4&1E8A3547&0"
"Hauptplatine","ACPI\PNP0C01\2&DABA3FF&0"
"Hauptplatinenressourcen","ACPI\PNP0C02\0"
"Hauptplatinenressourcen","ACPI\PNP0C02\1"
"Hauptplatinenressourcen","ACPI\PNP0C02\2"
"Hauptplatinenressourcen","ACPI\PNP0C02\5"
"Hauptplatinenressourcen","ACPI\PNP0C02\IOTRAPS"
"Hauptplatinenressourcen","ACPI\PNP0C02\PCHRESV"
"Hauptplatinenressourcen","ACPI\PNP0C02\SARESV"
"Numerischer Coprozessor","ACPI\PNP0C04\4&1E8A3547&0"
"Eingebetteter, Microsoft ACPI-konformer Controller","ACPI\PNP0C09\0"
"Microsoft ACPI-Kontrollmethodenkompatibler Akku","ACPI\PNP0C0A\0"
"ACPI-Deckel","ACPI\PNP0C0D\2&DABA3FF&0"
"ACPI-Energiezustandknopf","ACPI\PNP0C0E\2&DABA3FF&0"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\1"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\2"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\3"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\4"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\SAMPLEDEV"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\TBFP"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\TESTDEV"
"Trusted Platform Module 2.0","ACPI\STM7364\2&DABA3FF&0"
"ACPI-Thermozone","ACPI\THERMALZONE\THM0"
"UCM-UCSI ACPI-Ger?t","ACPI\USBC000\0"
"Microsoft ACPI-konformes System","ACPI_HAL\PNP0C08\0"
"Microsoft UEFI-konformes System","ACPI_HAL\UEFI\0"
"Wide viewing angle & High density FlexView Display 3840x2160","DISPLAY\LEN4124\4&3605A4C0&0&UID265988"
"Generic Monitor (SyncMaster)","DISPLAY\SAM0587\5&34452F&1&UID4352"
"Generic Monitor (SyncMaster)","DISPLAY\SAM0587\5&34452F&1&UID4354"
"ETD HSA Device","ETDHSA\VID_04F3&PID_0001\5&3A7069A5&0&0002"
"ELAN Miniport PTP Driver","ETDMINIPTP\VID_04F3&PID_0000\5&3A7069A5&0&0001"
"NVIDIA High Definition Audio","HDAUDIO\FUNC_01&VEN_10DE&DEV_0092&SUBSYS_17AA229B&REV_1001\5&3546B514&0&0001"
"HID-Tastatur","HID\VID_046A&PID_0023&MI_00\8&10F111A7&0&0000"
"HID-konformes Benutzersteuerger?t","HID\VID_046A&PID_0023&MI_01&COL01\8&34C84F69&0&0000"
"HID-konformer Systemcontroller","HID\VID_046A&PID_0023&MI_01&COL02\8&34C84F69&0&0001"
"HID-konforme Maus","HID\VID_046D&PID_C050\7&14E0A6B&1&0000"
"HID-konforme Maus","HID\VID_04F3&PID_0000&COL01\6&318363C8&0&0000"
"HID-kompatibles Touchpad","HID\VID_04F3&PID_0000&COL02\6&318363C8&0&0001"
"Microsoft Input Configuration Device","HID\VID_04F3&PID_0000&COL03\6&318363C8&0&0002"
,"HTREE\ROOT\0"
"Intel(R) Smart Sound Technologie-OED","INTELAUDIO\DSP_CTLR_DEV_A348&VEN_8086&DEV_0222&SUBSYS_229B17AA&REV_0010\4&1F46C59&0&0800"
"Synaptics Audio","INTELAUDIO\FUNC_01&VEN_14F1&DEV_1F86&SUBSYS_17AA229B&REV_1001\4&1F46C59&0&0001"
"Intel(R) Display-Audio","INTELAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&1F46C59&0&0201"
"High Definition Audio-Controller","PCI\VEN_10DE&DEV_10F8&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0108"
"NVIDIA USB 3.10 eXtensible-Hostcontroller ? 1.10 (Microsoft)","PCI\VEN_10DE&DEV_1AD8&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0208"
"NVIDIA USB Type-C Port Policy Controller","PCI\VEN_10DE&DEV_1AD9&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0308"
"NVIDIA Quadro RTX 4000","PCI\VEN_10DE&DEV_1EB6&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0008"
"Realtek PCIE CardReader","PCI\VEN_10EC&DEV_525A&SUBSYS_525A10EC&REV_01\00000001004CE00000"
